round,n_clusters,n_ch,alive_nodes,dead_nodes,avg_residual_energy_J,total_residual_energy_J
1,29,29,200,0,0.99179,198.358032
2,25,25,200,0,0.982817,196.563494
3,21,21,200,0,0.974065,194.813052
4,25,25,200,0,0.966094,193.218719
5,21,21,200,0,0.958279,191.655715
6,18,18,200,0,0.951434,190.286729
7,20,20,200,0,0.943309,188.661896
8,16,16,200,0,0.933005,186.600997
9,25,25,200,0,0.925501,185.100139
10,1,1,200,0,0.882876,176.575256
11,3,3,200,0,0.861158,172.231698
12,5,5,200,0,0.823529,164.705809
13,12,12,200,0,0.814365,162.872924
14,24,24,200,0,0.805582,161.116397
15,14,14,200,0,0.794766,158.953136
16,24,24,200,0,0.786548,157.309592
17,15,15,200,0,0.777906,155.58123
18,39,39,200,0,0.768072,153.614447
19,63,63,200,0,0.755153,151.03055
20,1,1,200,0,0.714695,142.938965
