node;gateway;RSSI;SNR;TOA;SF;BW;TXPOWER;FREQ;CHANNEL;DISTANCE;ENERGY;STATUS;ROLE
30;0;-115.36311704691255;7.667782823006888;370.688;10;125;14;867900000;867900000;1809.0917610779172;9.31126157523423;RECEIVED;CM
79;0;-97.64149582162946;25.389404048289975;659.456;12;250;14;868300000;868300000;841.0023781179218;16.56478578577581;RECEIVED;CM
38;0;-113.86607370295837;9.164826166961063;92.672;9;250;14;867300000;867300000;1098.7997997815617;2.3278153938085575;RECEIVED;CM
70;0;-92.99231511741385;30.038584752505585;14.144000000000002;7;500;14;868500000;868500000;806.2660851108647;0.35528121687271497;RECEIVED;CM
19;0;-95.31996387570976;27.710935994209677;164.864;11;500;14;867500000;867500000;1097.2078198773468;4.141196446443953;RECEIVED;CM
71;0;-115.56085745603596;7.470042413883476;164.864;11;500;14;867900000;867900000;1880.925835858501;4.141196446443953;RECEIVED;CM
43;0;-122.77654283138224;0.2543570385371936;25.728;8;500;14;867700000;867700000;1712.2342129510203;0.6462581410987847;RECEIVED;CM
47;0;-115.06968539062865;7.961214479290788;741.376;11;125;14;867300000;867300000;900.3110573574003;18.62252315046846;RECEIVED;CM
31;0;-113.59933007606831;9.431569793851125;102.912;8;125;14;867700000;867700000;294.15982050579237;2.5850325643951386;RECEIVED;CM
15;0;-104.029837839552;19.001062030367436;1318.912;12;125;14;867100000;867100000;1409.9822693920657;33.12957157155162;RECEIVED;CM
61;0;-102.18896294732357;20.841936922595863;659.456;12;250;14;867500000;867500000;1372.8830977180833;16.56478578577581;RECEIVED;CM
20;0;-98.63488803134663;24.396011838572804;92.672;9;250;14;868300000;868300000;1965.0559788464043;2.3278153938085575;RECEIVED;CM
41;0;-87.09875054859627;35.932149321323166;46.336;9;500;14;868300000;868300000;1660.4511435149184;1.1639076969042788;RECEIVED;CM
47;0;-100.19991451562747;22.83098535429197;25.728;8;500;14;868100000;868100000;900.3110573574003;0.6462581410987847;RECEIVED;CM
71;0;-116.77216515456178;6.258734715357662;25.728;8;500;14;868100000;868100000;1880.925835858501;0.6462581410987847;RECEIVED;CM
96;0;-107.60995302146641;15.420946848453028;46.336;9;500;14;867900000;867900000;932.1936494098209;1.1639076969042788;RECEIVED;CM
88;0;-113.00990248614603;10.020997383773405;102.912;8;125;14;867100000;867100000;1688.4104951107122;2.5850325643951386;RECEIVED;CM
26;0;-118.16548576608696;4.865414103832478;14.144000000000002;7;500;14;868300000;868300000;1561.167832105184;0.35528121687271497;RECEIVED;CM
19;0;-113.68431093917346;9.34658893074598;185.344;9;125;14;867100000;867100000;1097.2078198773468;4.655630787617115;RECEIVED;CM
95;0;-102.28075710294733;20.750142766972104;46.336;9;500;14;867100000;867100000;1247.4173319302565;1.1639076969042788;RECEIVED;CM
40;0;-96.23919334200318;26.79170652791626;14.144000000000002;7;500;14;868500000;868500000;746.2419178791821;0.35528121687271497;RECEIVED;CM
4;0;-116.95311621988802;6.077783650031421;329.728;12;500;14;867500000;867500000;736.9294403129787;8.282392892887906;RECEIVED;CM
34;0;-117.12469115696007;5.906208712959369;14.144000000000002;7;500;14;868500000;868500000;1879.853717713163;0.35528121687271497;RECEIVED;CM
55;0;-107.6565046413012;15.37439522861824;741.376;11;125;14;868500000;868500000;1028.7876360065763;18.62252315046846;RECEIVED;CM
77;0;-103.59412426456633;19.436775605353105;370.688;10;125;14;867700000;867700000;1571.5120107717917;9.31126157523423;RECEIVED;CM
61;0;-108.87352127779829;14.157378592121148;370.688;10;125;14;867700000;867700000;1372.8830977180833;9.31126157523423;COLLISION;CM
97;0;-96.16214465005139;26.86875521986805;51.456;8;250;14;867500000;867500000;736.3871264491253;1.2925162821975693;RECEIVED;CM
69;0;-124.99003553393149;-1.9591356640120523;329.728;12;500;14;867500000;867500000;1290.1550294441363;8.282392892887906;RECEIVED;CH
29;0;-111.295805424171;11.735094445748445;164.864;11;500;14;867900000;867900000;1801.153519275911;4.141196446443953;RECEIVED;CM
94;0;-112.3555945260996;10.675305343819844;14.144000000000002;7;500;14;868500000;868500000;703.0256040856549;0.35528121687271497;RECEIVED;CM
94;0;-109.92494470776933;13.10595516215011;370.688;10;125;14;868500000;868500000;703.0256040856549;9.31126157523423;RECEIVED;CM
82;0;-103.9098596934514;19.121040176468043;1318.912;12;125;14;868300000;868300000;1752.3529895543306;33.12957157155162;RECEIVED;CM
30;0;-109.17698747772845;13.853912392190992;1318.912;12;125;14;868500000;868500000;1809.0917610779172;33.12957157155162;RECEIVED;CM
10;0;-107.91870171770564;15.112198152213793;92.672;10;500;14;867700000;867700000;1697.923732091639;2.3278153938085575;RECEIVED;CM
2;0;-114.87575044180846;8.155149428110974;185.344;10;250;14;867700000;867700000;1382.1410926529895;4.655630787617115;RECEIVED;CM
35;0;-109.61037493605724;13.420524933862197;25.728;8;500;14;867900000;867900000;1844.6053778518592;0.6462581410987847;RECEIVED;CM
97;0;-110.96578573652204;12.065114133397401;46.336;9;500;14;867700000;867700000;736.3871264491253;1.1639076969042788;RECEIVED;CM
98;0;-114.22307934956913;8.807820520350305;329.728;11;250;14;867100000;867100000;639.8476381139498;8.282392892887906;RECEIVED;CM
28;0;-110.40406440737797;12.626835462541464;25.728;8;500;14;867500000;867500000;1228.7880207749422;0.6462581410987847;RECEIVED;CM
6;0;-114.67439123996073;8.35650862995871;28.288000000000004;7;250;14;868100000;868100000;1917.0446004201362;0.7105624337454299;RECEIVED;CM
