timestamp,node_id,bs_idx,sf,bw,freq,rssi,snr,toa,energy_j,status,role
1262.23,40,0,7,500,867700000,-113.81,9.22,14.14,0.000355,RECEIVED,CH
3698.88,74,0,7,500,868500000,-111.6,11.43,14.14,0.000355,RECEIVED,CM
4659.0,10,0,7,500,867100000,-116.27,6.77,14.14,0.000355,RECEIVED,CM
5158.95,14,0,7,500,867900000,-114.89,8.14,14.14,0.000355,RECEIVED,CM
6061.19,30,0,7,500,867500000,-105.55,17.48,14.14,0.000355,RECEIVED,CM
7100.75,80,0,7,500,867500000,-95.38,27.65,14.14,0.000355,RECEIVED,CM
8893.02,73,0,7,250,868300000,-119.33,3.7,28.29,0.000711,RECEIVED,CM
9011.68,9,0,7,250,867500000,-122.55,0.48,28.29,0.000711,RECEIVED,CM
9911.17,61,0,7,500,868100000,-129.18,-6.15,14.14,0.000355,LOST,CM
9958.0,31,0,7,500,868300000,-106.8,16.23,14.14,0.000355,RECEIVED,CM
18533.28,38,0,7,500,868100000,-102.12,20.91,14.14,0.000355,RECEIVED,CM
19025.18,44,0,7,500,868300000,-107.82,15.22,14.14,0.000355,RECEIVED,CM
19283.0,49,0,7,500,868100000,-112.36,10.67,14.14,0.000355,RECEIVED,CM
20442.91,96,0,7,500,867900000,-105.7,17.33,14.14,0.000355,RECEIVED,CM
28943.22,0,0,7,250,867700000,-115.11,7.92,28.29,0.000711,RECEIVED,CH
29618.42,38,0,7,500,867900000,-97.99,25.04,14.14,0.000355,RECEIVED,CM
44613.69,26,0,7,500,868100000,-124.76,-1.73,14.14,0.000355,LOST,CH
49269.53,90,0,7,250,867100000,-117.7,5.33,28.29,0.000711,RECEIVED,CM
51843.9,47,0,7,500,868300000,-118.0,5.03,14.14,0.000355,RECEIVED,CM
55101.12,39,0,7,500,867100000,-113.55,9.48,14.14,0.000355,RECEIVED,CM
56720.1,8,0,7,500,867500000,-105.2,17.83,14.14,0.000355,RECEIVED,CM
60167.13,47,0,7,500,867500000,-113.73,9.3,14.14,0.000355,RECEIVED,CM
65244.07,6,0,7,500,867300000,-110.48,12.55,14.14,0.000355,RECEIVED,CM
72000.83,38,0,7,500,868100000,-95.9,27.13,14.14,0.000355,RECEIVED,CM
78435.08,23,0,7,500,868500000,-123.7,-0.67,14.14,0.000355,LOST,CM
81643.0,22,0,7,500,867900000,-109.7,13.33,14.14,0.000355,RECEIVED,CM
88108.61,73,0,7,500,867500000,-121.67,1.36,14.14,0.000355,LOST,CM
93577.35,41,0,7,500,867900000,-86.35,36.68,14.14,0.000355,RECEIVED,CM
108445.63,69,0,7,500,867100000,-89.32,33.71,14.14,0.000355,RECEIVED,CM
109064.22,76,0,7,500,868100000,-108.84,14.19,14.14,0.000355,RECEIVED,CM
109861.66,12,0,7,500,867100000,-120.36,2.67,14.14,0.000355,RECEIVED,CM
111342.76,28,0,7,250,867700000,-114.23,8.8,28.29,0.000711,RECEIVED,CM
116941.9,16,0,7,500,868500000,-75.79,47.24,14.14,0.000355,RECEIVED,CM
117633.27,85,0,7,500,867100000,-89.18,33.85,14.14,0.000355,RECEIVED,CM
117640.22,18,0,7,500,868300000,-122.4,0.63,14.14,0.000355,LOST,CM
120855.05,80,0,7,500,868500000,-102.24,20.79,14.14,0.000355,RECEIVED,CM
123845.3,35,0,7,500,867900000,-115.88,7.15,14.14,0.000355,RECEIVED,CM
132654.16,56,0,7,500,867500000,-114.35,8.69,14.14,0.000355,RECEIVED,CM
139304.9,52,0,7,500,868500000,-107.75,15.28,14.14,0.000355,RECEIVED,CM
144174.73,8,0,7,500,868100000,-113.2,9.83,14.14,0.000355,RECEIVED,CM
145384.65,51,0,7,500,867900000,-106.09,16.94,14.14,0.000355,RECEIVED,CM
