node_id,x,y,cluster_id,role,residual_energy_J,alive
14,937,1472,0,CM,0.998528,YES
3,565,1802,0,CM,0.997783,YES
50,369,1120,0,CM,0.995498,YES
39,1038,1041,0,CM,0.993264,YES
44,1304,396,0,CM,0.968084,YES
96,1010,1529,0,CM,0.997605,YES
86,903,615,0,CM,0.983668,YES
70,467,1185,0,CM,0.997348,YES
35,613,1613,0,CM,0.999602,YES
41,797,1106,0,CM,0.996744,YES
24,564,1839,0,CM,0.997286,YES
76,1609,623,0,CM,0.96734,YES
8,1024,943,0,CM,0.991527,YES
46,1475,290,0,CM,0.958299,YES
10,1119,1404,0,CM,0.995774,YES
80,577,463,0,CM,0.978843,YES
89,952,1638,0,CM,0.997911,YES
29,668,1487,0,CH,0.946633,YES
85,575,1871,0,CM,0.996858,YES
40,-107,-241,1,CM,0.987752,YES
77,829,-292,1,CM,0.997329,YES
84,570,-1648,1,CM,0.976935,YES
18,-143,-395,1,CM,0.988291,YES
28,1030,-633,1,CM,0.996215,YES
61,-784,-1060,1,CM,0.956966,YES
45,699,-440,1,CM,0.999419,YES
58,512,-740,1,CM,0.999281,YES
94,-474,-1286,1,CM,0.9668,YES
36,325,-1485,1,CM,0.981905,YES
30,390,-1339,1,CM,0.987424,YES
63,600,-575,1,CH,0.985869,YES
6,354,-572,1,CM,0.998769,YES
21,-523,-520,1,CM,0.974697,YES
53,497,-291,1,CM,0.998155,YES
97,-841,-1782,1,CM,0.929313,YES
37,127,-193,1,CM,0.992587,YES
92,-239,-510,1,CM,0.985817,YES
67,946,-44,1,CM,0.991946,YES
78,207,-1467,1,CM,0.980978,YES
71,619,-1577,1,CM,0.979893,YES
98,1380,-1210,1,CM,0.979747,YES
87,710,-1380,1,CM,0.986777,YES
82,790,-718,1,CM,0.998849,YES
20,223,-1294,1,CM,0.986798,YES
0,874,-738,1,CM,0.997947,YES
69,-199,-1966,1,CM,0.948514,YES
22,-1064,-1582,1,CM,0.924321,YES
68,-525,765,2,CM,0.991639,YES
79,299,1214,2,CM,0.997709,YES
52,29,1328,2,CM,0.999501,YES
17,200,542,2,CM,0.99051,YES
5,334,1617,2,CM,0.993546,YES
9,-400,1629,2,CM,0.993455,YES
26,-991,893,2,CM,0.980037,YES
2,-253,951,2,CM,0.997923,YES
27,-134,780,2,CM,0.996463,YES
33,-656,1643,2,CM,0.988176,YES
65,78,474,2,CM,0.98952,YES
57,-37,1188,2,CH,0.971483,YES
54,-713,1443,2,CM,0.98954,YES
56,-563,1145,2,CM,0.994409,YES
43,-191,869,2,CM,0.99747,YES
31,-302,1324,2,CM,0.998206,YES
38,201,1511,2,CM,0.996761,YES
34,-286,390,2,CM,0.986004,YES
19,-91,1049,2,CM,0.999535,YES
60,-165,1381,2,CM,0.998907,YES
64,335,1847,2,CM,0.988527,YES
1,-657,1684,2,CM,0.987372,YES
49,-357,1870,2,CM,0.98863,YES
51,-1068,423,3,CM,0.997727,YES
32,-1229,492,3,CM,0.995269,YES
72,-1230,-142,3,CM,0.996448,YES
90,-1582,-471,3,CM,0.983718,YES
47,-1482,-1120,3,CM,0.96224,YES
88,-1459,-781,3,CM,0.977382,YES
4,-1665,617,3,CM,0.983737,YES
59,-890,-376,3,CM,0.994893,YES
93,-1574,301,3,CM,0.99051,YES
74,-1412,793,3,CM,0.986055,YES
81,-527,68,3,CM,0.997005,YES
11,-1294,-254,3,CM,0.994082,YES
7,-1877,-350,3,CM,0.976631,YES
12,-1965,53,3,CM,0.977523,YES
95,-665,195,3,CM,0.998709,YES
66,-506,316,3,CM,0.996041,YES
62,-719,-83,3,CM,0.998375,YES
42,-1117,-1226,3,CM,0.96244,YES
75,-1626,1025,3,CM,0.973577,YES
48,-1701,-201,3,CM,0.985238,YES
91,-1797,508,3,CM,0.981286,YES
55,-1472,122,3,CM,0.993617,YES
15,-1488,1005,3,CM,0.977869,YES
83,-726,277,3,CM,0.998873,YES
25,-804,237,3,CM,0.999526,YES
23,-705,-308,3,CM,0.995354,YES
16,-980,581,3,CM,0.995772,YES
99,-618,-133,3,CM,0.996936,YES
13,-908,128,3,CH,0.982843,YES
73,-1503,-379,3,CM,0.987759,YES
